sentence,target
I was saving the best ( and by best I mean most maddening ) thing for last.,0
"In the end of Roses Are Red, The Mastermind is revealed for who he is.",0
"In Violets Are Blue, we go throughout the entire book with him still being called The Mastermind as if we'd never been informed of his identity!",1
The author drops clues to his identity which are completely and utterly ridiculous because WE ALREADY KNOW WHO HE IS!! What was he thinking here?,0
Did he forget we knew who it was?,0
"He seems to be insulting our intelligence by bringing him back in as an unknown, thinking we're not smart enough to remember that we already solved this little mystery in the last book!",1
Ugh!,0
"To make matter worse, he's revealed in dramatic fashion like we're supposed to say,"" OH!",0
"My goodness, who would have guessed?""",0
"Of course, we're not surprised and Cross doesn't seem too surprised either.",1
"Considering this is the plot that he runs with in the end, it's very disappointing.",0
"Now that I'm done ranting and raving ( believe me, I could have done more but I restrained myself ), would I recommend this book?",0
"Well, if you're an Alex Cross follower, you might as well read it because you're probably already hooked ( as I am ) and will want to read the next one ( which there almost certainly will be--why not if he can get away with marketing this amateurish crap and still stay on the bestseller list? ).",1
"However, if you can get out now, do it.",0
Patterson seems to be going down the toilet and bringing his faithful fans along with him.,0
Wow. Stephen King trying to write a fantasy.,0
"That's like Britney Spears trying to rap, or Backstreet Boys trying to write a good song.",0
"It's just not going to happen A medicore fantasy would be the best of his ability, but of course there would be bloody killing.",1
Basic fact of life: I don't like the author.,1
"I despise Stephen King, so if you love him, as in you would be offended if anything bad was said about your author, then I suggest stopping here.",0
"I mean, he's not even that good, and he's got all these terrible best selling novels, I'll just say that he struck it rich with the"" thrills and chills"" crowd that likes their children to read R.L. Stine.",1
"Nothing against those folks, but I just don't see the big deal about this guy.",1
Hes no Ray Bradbury.,1
He just cant reach into different genres.,1
Here's the basic rundown:,0
The Characters,0
"King Roland--a king that is basically like"" I'll do whatever the evil wizard tells me to do.""",0
"Typical moron in these types of novels, not very well developed in the time he is in the book, which is not really that much, but still...hes your typical king with a death wish.",1
Peter--The ONLY well-developed character in the book.,0
"I hated his guts, of course ( if he existed, I would.",0
"Unfortunatly, he has no guts to hate, so I guess it was a bad choice of words ).",1
"Naturally, hes the good looking good guy that you know will always win at the end, but you just dont know how.",1
"The first son of King Rolands, hes destined to be the Prince, but of course the exact same evil plot to stop that from happening happens, just as in any copycat novel.",0
Sigh.,0
"Thomas the choo choo train--Okay, just Thomas.",0
I have to say I despised this character also.,0
"The second son of King Roland, hes always overlooked.",0
"Of course, with his birth, the Queen Sasha died, so the first thought is that he is the bad guy.",0
"Thats partially true, actually.",0
"Anyway, his tragic birth was made possible in part by the evil wizard, Flagg, giving Roland an overdose of crack.",0
"( Okay, maybe not crack, but the same kind of stuff.",1
Green vodka.,0
"I dont know, but it s probably illegal in all forty nine states.",1
"California is going to fall off and sink into the ocean, so Ill count them off now ).",0
The evil wizard Flagg--GASP!,0
"Your typical, demon wizard set to take over the world.",0
"Need I say more, because I dont really want to.",1
Dennis the menace--also known as Dennis the Butler.,0
"He finds the dead body of a rat, and that s basically his huge involvement in the book.",0
Unless you would rather me spoil the ending?,1
The Plot,0
"Cough....cough....uh, let's see.",0
"A fat little king named King Roland was not a bad, dictator king, but a good hearted king.",1
"A good heart, we soon learn, does not help you much in life when you are trying to be the oh-so powerful king of this little land.",1
"His main advisor, whispering his every move into his ear, is a black cloaked wizard named Flagg who is sooo unsuspectable when he gives King Roland this green gunk and we later find out his wifes been killed by it.",0
Such a nice guy.,0
What an unpredictable plot.,0
Yippie doo!,0
"Anyway, after deciding Thomas looked sexier than Peter, he decided to frame Peter for killing daddy.",0
"He shows Thomas an eyehole, where you can peek through the eyes of a dead dragons head, through the wall, to spy on dada.",0
"Anyway, after King Roland flashing the dragon while Thomas is looking through the eyehole, Thomas decides to go back (you horny man, you ).",0
"Anyway, he sees Fragg giving Roland an evil drink, and Fragg devises a clever(? ) plot...poison Roland and poison a rat with the same stuff ( it makes smoke come out of your ears and it makes your body suddenly go up in a green fire, maybe you ve heard of it.",0
I heard listening to the Backstreet Boys may cause it ).,0
"Anyway, put the dead rat in Peters room behind a bookshelf, and let Dennis find it.",0
"Typical, typical, typical.",0
I do not like this plot.,1
Do you?,0
Getting bored yet?,0
The Authors Writing Skills,0
Lets just say that if you are looking for a corny piece of writing that would have gotten a C in sixth grade English class...then I highly recommend this book.,0
"I have nothing against King, I just think he should nt be selling these vulnerable pieces of cr@p that wont matter in three months, while these great writers never get their fair share of the pie.",1
Its always like that is nt it?,0
"Even on Epinions, sometimes it s one of the worst reviews ever...and it s on the top of the list because",0
a)People dont care,1
b)( S)he got easy raters,0
"c )he got highly recommended by an advisor, or",0
d )he is an advisor.,0
"Now, Im not giving out names, but I will say that I have read advisor opinions that arent worth cleaning the toilet with.",1
"Thats life, and as much as I hate it, it s got to happen.",0
"How come the game Final Fantasy VIII sold millions of copies when it s the most boring game Ive ever played, and Monster Rancher 2 pretty much barely made it past the price they paid to make it and it s a wonderful game?",0
"How come Mystery Men basically bombed, when the terrible movie Scream 3 was a big hit?",0
"Its just an unfair world out there is nt it, Charlie?",0
Thats how it is with Stephen Kings writing ability.,0
"Hes got nothing, and yet every other book becomes a movie.",0
Its not justice.,1
Overall,0
Just pass on this one.,0
"Im not sure if you liked Pet Cemetary or whatever, but just pass on this shallow plot, and go get The Doomsday Book by Connie Willis for a much better plot and writing talent",0
It won't be any spoiler to the literate masses to say that this classic Gothic horror story revolves around young Doctor Victor Frankenstein and the monster that he brings to life.,1
"This unnamed creature, the culmination of years of painstaking work by Frankenstein, turns murderous after experiencing cruelty and persecution in his every encounter with humankind.",0
Mary Shelley's work was first published anonymously in 1818.,0
"Significant in its day for the distillation of Gothic literary conventions combined with an original and imaginative premise, the book is still widely known today, if not quite so widely read.",1
I was fairly surprised to find that I did not at all enjoy reading this book.,1
"In fact, I found it enormously repetitive and tedious.",0
"Despite the brevity of the story, I still thought the story dragged on, as if the author had padded the story heavily without adding anything of substance.",1
"I was also surprised to find that the story held absolutely no suspense for me, nor could I say that the story struck me in any way as"" creepy.""",1
"Sort of a disappointment for one of the most famous Gothic horror stories of all time, wouldn't you say?",0
"Adding insult to injury were the leaden dialog, a completely unsympathetic main character and the lack of credibility in the actions and thoughts of the characters.",1
Here's an example of what I mean when I say the dialog is leaden.,0
The scene is one in which a household servant of the Frankensteins has wrongfully been accused of a murder committed by the monster.,0
The excerpt is typical of all the dialog in the novel:,0
""" She is innocent, my Elizabeth,"" said I,"" and that shall be proved; fear nothing, but let your spirits be cheered by the assurance of her acquittal.""",1
""" How kind and generous you are! every one else believes in her guilt, and that made me wretched, for I knew that it was impossible: and to see every one else prejudiced in so deadly a manner rendered me hopeless and despairing.""",0
She wept.,0
""" Dearest niece,"" said my father,""dry your tears.",0
"If she is, as you believe, innocent, rely on the justice of our laws, and the activity with which I shall prevent the slightest shadow of partiality.'",0
#NAME?,0
"But it strains credulity to suggest that intimate family members would really converse with each other in this way, no matter the era.",1
"After endowing his creation with life, Victor Frankenstein flees his laboratory, loses track of the monster and then goes about his miserable life for two years, apparently uninterested in what has become of his life's work.",0
Is this plausible?,0
"His role during this time consists principally of languishing in nervous fever-wracked states, absolving himself of all responsibility, wallowing all the while in self-indulgent, morbid melancholy and revulsion towards the work of his own hands.",0
He waffles and dithers and generally acts like an idiot for chapters on end.,0
None of this behavior endeared him to me.,0
"In fact, the monster possesses qualities, at least at times, that are far more ennobling than any his creator ever displays.",0
"The words""miserable"" and""misery,""""gloom"" and""anguish"" appear on almost every page, sometimes in multiple paragraphs per page.",0
"If Shelley was trying to get the message across about Victor's wretched state, she might have had a little more faith in her readers' ability to absorb that message the first, second, third or fourth times around.",0
"Or barring that, she might have had recourse to a thesaurus to look for other descriptive terms.",0
"The reader is asked to not only endure, but to care about and empathize with the neurotic thoughts and behavior of Victor Frankenstein for far too long.",0
Yet another implausible aspect of the story creeps into the narrative by way of the narrator.,0
Frankenstein is actually a story within a story within a story.,0
"What that means is that Victor Frankenstein is relating his story to the captain of an exploratory vessel in the Arctic, who is in turn taking the tale down in lengthy letters to his sister.",0
"And when Frankenstein recounts the story told to him by the monster, yet another layer is added to this tissue of boredom.",0
But I digress.,0
What I found implausible here is the highly favorable impression that Victor Frankenstein - at this point a dying wreck of a man - makes upon the sea captain.,0
"In his letters, the captain speaks of Frankenstein's nobility of soul and of how he grows to love the good doctor as a brother.",0
Knowing Frankenstein through his own words left me with an altogether different impression of the man and I fail to see how the captain could be so taken with his acquaintance.,0
It has been and can be argued that Frankenstein is largely a moral tale.,0
"To reduce the moral philosophy of the tale to its essence, kind treatment makes people good; cruel treatment, revulsion and rejection makes them wicked.",0
"Yet this idea doesn't even hold up in Shelley's tale, for Victor, though raised by benevolent and loving parents treats his own creation most cruelly.",1
"And the monster, though treated most cruelly by all he encounters, retains an innate moral compass and yearning towards goodness even as he continues his annihilation of Frankenstein's friends and family.",0
Another theme that Shelley raises but does not satisfactorily treat is the idea that man's desire to master nature and to understand the world in which we live is futile without the all-too-rare qualities of self-mastery and understanding of human desires and limitations.,1
Frankenstein's fatal immaturity allowed his hubristic faith in his own abilities to overreach his wisdom and his compassion.,0
"The monster is not inherently monstrous, but becomes so through his creator's rejection of him.",1
"Had the young doctor had the wisdom to predict his own reaction to his creation or the compassion to treat it benevolently, Shelley suggests, the disaster could easily have been averted.",0
Yet this message is merely hinted at and not drawn out to any clear explication or moral.,1
It's clear that Shelley meant to play upon the parallels and contrasts between the creator and the creature in her novel.,0
Each of them is made miserable by the existence of the other.,0
Each of them seeks to master the other.,0
Both feel cut off from the world around them.,0
"And they both say of their sufferings"" I bore a hell within me.""",0
"Yet their differences are great too, for where Victor pursues science and rationality in his studies, his reactions devolve into hysterics and passivity; while the monster, who comes into existence with no learning and no one to instruct him, resorts to empirical analysis of the world and consistently acts vigorously on the basis of his analyses.",1
"In these contrasts and similarities, we can detect Mary Shelley's background as the daughter of a philosopher and the wife of a poet.",0
"Unfortunately, this after-the-fact sort of literary parsing doesn't make up for the anemic and long-winded text that Shelley left us.",1
This is the first time in my memory that I have read a classic piece of literature and found virtually nothing to commend it or repay my time and effort.,1
It surprises me that a book of such a reputation falls so far short in every way by which I am accustomed to judge fiction.,0
"Sadly, I cannot recommend this book to anyone.",1
I suspect that the book continues to be read today largely on the strength of its popularity in the era of its publication,0
I've read most of the books written by Mary Higgins Clark and have enjoyed them.,0
Before I Say Goodbye is her 22nd book and my least favorite of all of them.,0
"That doesn't mean I didn't enjoy it, I just felt her other novels were much more exciting and interesting.",1
I read the back cover of the book and expected something completely different than the story before me.,0
"The synopsis indicated that Nell MacDermott had lost her husband, Adam, when a bomb blew up his boat.",0
She had so many unanswered questions.,0
"When a woman approached her with psychic powers claiming to have contacted Adam in the after-life, Nell agrees to try to get the answers through this medium.",0
"This wasn't the story line at all - there was a hint at the paranormal and psychic abilities, but only a hint.",1
Maybe Clark's publicist was trying to draw in those interested in the paranormal.,0
The story was more based on Nell trying to clear Adam's name when bid rigging and construction scams are investigated by law enforcement agencies and her husband's name seems to be at the center of it all.,0
Oh and did I mention that Nell's grandfather ( who raised her ) is a retired congressman who wants his granddaughter to follow in his political footsteps?,0
"With the black cloud hanging over her dead husband, Nell's political future is very uncertain.",0
Nell goes on her on sleuthing expedition to try to get answers and ends up getting more than she bargained for and it's a race against the clock to save her.,0
"The characters are not very well described, but only vaguely outlined.",1
That's probably the biggest detriment to the book - there were so many support characters that could have made for some fantastic subplots and the opportunities were wasted.,0
"For example, Nell's Great Aunt Gert could have an entire book devoted to her whimsical character.",0
"She's fun, eclectic and loves to explore the supernatural ( didn't Mary Higgins Clark write an entire book for another support character with the same fun characteristics?",1
"Yep, remember The Lottery Winner? ).",0
"Maybe the future will hold a book on Great Aunt Gert, which should be fun to read.",0
"Before I Say Goodbye is an average book, but definitely not on the top of Mary Higgins Clark's list of great books.",0
"Before I Say Goodbye leaves you wanting more - more character description, more in-depth plot, more subplots, more everything!",0
"I'd suggest it only if you've read all of her other books, but until then, leave it on the library shelf!",0
Dean Koontz is one of my favorite horror/sci fi writers.,0
"In the past, his books have been very easy to read and the stories believable enough to fall in love with the book.",0
I was given The House of Thunder as a gift and eagerly began reading over a rainy weekend.,0
"Even though, the book jacket says that is was written by Dean Koontz, this book seemed to lack Dean's usual flair.",1
The Beginning,0
The story begins with a young woman-Susan-awakening in a hospital bed.,0
"She has been in a coma for so long that she does not remember her name, her job, or what caused her to be in the hospital in the first place.",1
It is up to the dr. to tell her a little about herself; that she was a physicist at a drug company.,0
"With the dr's help, Susan begins remembering bits and pieces about her past.",0
"She does not remember the car accident that has placed her in the hospital, though.",1
"Although Susan can not remember important details like what her job was like, or the sound of her boss's voice, she does remember one important fact that carries through the whole book.",1
Susan remembers the fraternity brothers who were responsible for her fiance's hazing death-and their revengeful plan to get her back.Susan was a key witness in getting one of the brothers sent to prison.,0
The Middle,0
"In the middle section of the book, Susan begins to believe that two of the frat brothers are trying to kill her.",0
She sees two orderlies who look and act like the frat boys.,0
"She tries to convince the Dr., that the orderlies are trying to kill her, after some questioning of the orderlies, it is stated that they are not trying to kill her.",1
"Susan becomes extremely afraid of the orderlies due to thier unique likeness to the frat boys and the malicious pinches, etc that they give her.",0
"At this time, the dr and nurse believe that Susan is having a mental setback because she appears to be schizophrenic in her'unjust' fear of these two orderlies.",0
The Ending,0
"At the end, Susan finds out that she is part of a Communist plot created by the KGB.",0
"The hospital and town where she is at does not exist, it is in fact just a storage facility that has been created to resemble an hospital/town.",1
"The KGB has researched Susan's life, that is how they knew what her fears were, and used these fears against her.",0
"I feel that this book was very unrealistic due to the fact that Susan was a physist, yet she was not a spy and I have no idea why the KGB would be that interested in her.",1
"If Dean had continued with the same storyline that was introduced in the beginning and the middle, the book would have been much easier to read and believe.",0
"Instead, he took a perfectly good story, slapped on a fancy ending-that did not go at all with the storyline and called it a book.",1
"I am glad this book was a gift, because I would have been disappointed if I had purchased it",0
3 dead!,0
56 wounded!,0
Film at 11!,0
"Well actually, you have until Saturday Night so there's time to run around like Sherlock Holmes on speed and solve the mystery just minutes before the news media puts your company out of business.",0
Not exactly Jurassic Park here!,1
This has to be the worst I've ever read from Michael Crichton.,0
There are 2 major problems with this book.,0
The first is Crichton's tendency to be overly technical.,0
I like a story that is based on facts.,0
And learning a little about those facts along the way can be fun.,0
But we didn't need to know the level of details presented here to appreciate the dilemma the heroin was dealing with.,1
Which brings me to the other major problem.,0
"I, for one, didn't really care about the dilemma.",1
I worried about the fate of the human race if those dinosaurs managed to escape from Jurassic park.,0
But I didn't worry that this highly skilled woman was going to lose her job ( Oh the horror of it all )!,1
"Or that a Chinese ( the new"" Evil Empire'? ) would steal an American wing design.",0
Less important but still distracting from the story is Crichton's habit of throwing his own prejudices and political beliefs into his stories.,0
Beside the'Evil Empire' we get a one sided view of the'Evil Media' and a terrifying portrait of the'Evil Union'.,0
I'm not a fan of today's media with it's'sound bites' and'shock value equals ratings' attitude.,1
But I think that the story here implies that every media person has a 100 % disregard for anything but his/her own personnel ego.,0
I find that hard to believe.,0
"I'm also not a fan of unions with mostly short term, selfish goals.",1
"But still, this story would have us believe that the union would take any opportunity to seriously injure or even kill a middle aged single Mom who has nothing to do with their actual grievances, just because she is part of management.",1
No way Mike!,0
I DO like Chrichton.,0
And there were a few riveting moments in the book.,0
It might even make a good movie since the movies tend to cut out all the technical stuff anyway.,0
"Compared to the work of more competent practitioners of the art of the globe-hopping action/adventure/mystery novel - Michael Crichton comes to mind  The Da Vinci Code"" is pedestrian and overwrought.",0
"To summarize the sprawling, byzantine plot: warning - possible spoilers ahead - an elderly Louvre curator is murdered in the museum.",0
"Although shot in the chest, he manages to disrobe and surround himself with cryptographic clues - written in blood AND invisible ink (! ) - to the reason for his death.",0
"His estranged granddaughter, who, coincidentally is a police inspector (!! ) AND a cryptologist (!!! ), enlists the aid of a visiting Harvard professor and symbologist (!!!! ) in unraveling the multiple mysteries of:",0
1. Her grandfather's death,0
"2. His role in an ancient, secret society",0
3. The TRUTH (!!!!! ) about the foundations of Christianity and the perfidy of Rome (!!!!!! ),0
"Although prolix, author and former schoolmaster Dan Brown fails to create adequate descriptions of people ("" a forty-something academic"" ), or places ( a chapel""engraved with a mind-boggling array of symbols... ), or objects (""gossamer gowns"" and""golden orbs"" ).",0
"After 450 some pages, the reader still has gotten few clues about matters so basic as the physical appearance of the principal characters - other than hair and eye color!",0
"Descriptions of places - the Louvre, Westminster Abbey - are lifeless, and read as if plagiarized from a do-it-yourself walking tour guide by one of the less gifted of the author's former prep school students:",0
""" London's ancient Temple Church was constructed entirely of Caen stone.",0
"A dramatic, circular edifice with a daunting facade, a central turret, and a protruding nave off one side, the church looked more like a military stronghold than a place of worship.",0
"Consecrated on the tenth of February in 1185 by Heraclius, Patriarch of Jerusalem, the Temple Church survived eight centuries of political turmoil, the Great Fire of London, and the First World War, only to be heavily damaged by Luftwaffe incendiary bombs in 1940.",0
"After the war it was restored to its original, stark grandeur.""",0
Got it?,0
"February 10th, 1185; Heraclius; turmoil; fire; war; Luftwaffe; bombs;1940.",0
"These are factoids, NOT descriptive passages!",1
What color is Caen stone?,0
Are there windows?,0
Stained glass?,0
The smell of incense or centuries of candle wax?,0
Pigeons in the rafters?,0
Bats in the belfry?,0
Brown isn't about to tell us!,1
As to plot and character development - given the near absence of any meaningful interior monologues - characters blather at each other for page after page in stilted and unnatural prose.,0
"Langdon, the symbologist, speaks:",0
"""'...Every stone archway requires a central, wedge-shaped stone at the top which locks the pieces together and carries all the weight.",0
"This stone is, in an architectural sense, the key to the vault.",0
In English we call it a keystone.',0
"Langdon watched her eyes for any spark of recognition.""",0
( Perhaps they had understandably glazed over. ),0
"Unfortunately, isolated examples can't create the mind-numbing effect of page after page of this tedious bloviating.",1
The success of the book must be attributed to the publisher's ( Doubleday ) unprecedented marketing effort.,0
"According to the New York Times, Doubleday distributed 10,000 advance copies of the book to booksellers and the media, and put Mr. Brown - who had never before sold more than a few thousand copies of his earlier efforts - on extended publicity road trips to trade shows and booksellers.",1
"If you're looking for an intellectually challenging mystery story, read or reread Eco's"" The Name of the Rose"", or"" Foucault's Pendulum"".",0
"For more vivid descriptions of people and places and events in an atmosphere of mystery, read Crichton, or Ian Fleming - or even Tom Clancy!",0
"For an example of how marketing hype can overcome critical judgment and influence popular taste, read"" The Da Vinci Code"".",0
"Michael Crichton has written some really fun, engaging, and interesting stories.",0
"Unfortunately,"" Airframe"" isn't one of those.",1
"He's also written some really bad stories, and it isn't one of those either.",1
""" Airframe"" follows the usual Crichton pattern of a suspense story whose plot revolves around a piece of science, medicine, or technology.",0
"In this case, it's the building of airplanes that takes center stage.",0
"We have the plucky heroine, an executive at the aircraft company determined to find the truth behind an accident.",0
"We have some bad guys, including union goons and a shameless TV reporter.",0
"We learn a bunch of stuff about the politics and engineering of airplanes, and eventually, we learn what happened on that ill-fated flight.",0
"The only problem is, we don't really care.",1
"The trouble with"" Airframe"" is that the stakes are too small.",0
"In"" The Andromeda Strain,"" the fate of humanity rested on finding the answer.",0
"In"" Airframe,"" it's an order for new planes.",0
"In the most suspenseful moments of"" Jurassic Park,"" we wonder how the humans will escape the dinosaurs.",0
"At the climax of"" Airframe,"" we wonder whether the TV reporter will escape being airsick.",0
"( As Dave Barry would say, I am not making this up! )",0
"If you like the Crichton style and you borrow the book from the library, go ahead and read it -- it ought to hold your interest for a couple of hours.",0
"Otherwise, save your time and money for one of his better books.",0
"[By the way, this isn't a children's book by any stretch of the imagination!",1
I'm not sure why it's in this category.,1
"I enjoyed reading Dean Koontz's book"" Tick Tock"" very much.",0
"What I didn't enjoy doing, however, was listening to this book on audiocassette.",1
"I had never before listened to a book on tape, so this was a first.",1
"Just because I give my opinion of this book on audiocassette a bad review, it does not mean I'm bashing audiocassette books in general.",1
I'm sure this book on tape has got to be one of the worse.,0
"I listened to the taped version a week after finishing the book, so the book was still fresh in my mind.",0
The person who read the book complete stripped the personality out of the characters by his interpretations of the voices.,0
"As I read the book, I got the impression of the main female character to be smart, clever, fun and sporadic.",0
"The reader, however, made the female's voice whiny and obviously fake.",0
"His reading of the book put it into a whole new perspective, and not a likeable one either.",0
He instead made the whole book sound ridiculous.,0
"I am a very big fan of Dean Koontz books, therefore I would hate for someone who has never read or listened to a Dean Koontz book before to pick"" Tick Tock"" on audiocassette as their first choice.",1
"Should that happen, there is a very likely chance that the person would never again try any piece written by Dean Koontz.",1
"I suggest that if you plan on listening to Dean Koontz's"" Tick Tock"" on audiocassette that you read the book first, for it is much different even though it is exactly the same.",0
"PS--Please keep in mind that my ratings are not for the book itself, but for the book on audiocassette",1
I have just finished skimming a few of the other reviews for this novel by others who have read it.,0
"No offence to those who enjoyed this pathetic novel, but Dean Koontz is by far the worst horror novelist I have read in a very long time.",1
